      Date,    Time,Temp,SpCond,Turbidity,DateTime
09/10/2024,12:00:50,12.84,482,3.6,10/09/2024 12:00:00
09/10/2024,12:15:51,12.86,482,3.6,10/09/2024 12:15:00
09/10/2024,12:30:50,12.89,482,3.4,10/09/2024 12:30:00
09/10/2024,12:45:51,12.93,481,4.7,10/09/2024 12:45:00
09/10/2024,13:00:51,12.96,482,3.9,10/09/2024 13:00:00
09/10/2024,13:15:50,12.99,482,3.6,10/09/2024 13:15:00
09/10/2024,13:30:51,13.01,481,4,10/09/2024 13:30:00
09/10/2024,13:45:50,13.04,481,3.2,10/09/2024 13:45:00
09/10/2024,14:00:50,13.07,481,3.4,10/09/2024 14:00:00
09/10/2024,14:15:51,13.11,481,3.2,10/09/2024 14:15:00
09/10/2024,14:30:50,13.12,481,3.2,10/09/2024 14:30:00
09/10/2024,14:45:50,13.16,481,3.2,10/09/2024 14:45:00
09/10/2024,15:00:51,13.18,481,3.2,10/09/2024 15:00:00
09/10/2024,15:15:50,13.21,481,3.5,10/09/2024 15:15:00
09/10/2024,15:30:50,13.21,481,3.3,10/09/2024 15:30:00
09/10/2024,15:45:51,13.21,481,2.9,10/09/2024 15:45:00
09/10/2024,16:00:50,13.2,481,3.4,10/09/2024 16:00:00
09/10/2024,16:15:50,13.18,482,3.2,10/09/2024 16:15:00
09/10/2024,16:30:50,13.17,482,3.1,10/09/2024 16:30:00
09/10/2024,16:45:50,13.16,482,3.2,10/09/2024 16:45:00
09/10/2024,17:00:50,13.15,482,3.5,10/09/2024 17:00:00
09/10/2024,17:15:50,13.13,482,3.4,10/09/2024 17:15:00
09/10/2024,17:30:51,13.1,482,3.4,10/09/2024 17:30:00
09/10/2024,17:45:51,13.06,482,3,10/09/2024 17:45:00
09/10/2024,18:00:51,13.02,483,3.2,10/09/2024 18:00:00
09/10/2024,18:15:50,12.98,483,3.1,10/09/2024 18:15:00
09/10/2024,18:30:50,12.94,483,3.4,10/09/2024 18:30:00
09/10/2024,18:45:50,12.91,483,3.1,10/09/2024 18:45:00
09/10/2024,19:00:51,12.87,483,3,10/09/2024 19:00:00
09/10/2024,19:15:50,12.83,483,3.1,10/09/2024 19:15:00
09/10/2024,19:30:50,12.8,483,3.2,10/09/2024 19:30:00
09/10/2024,19:45:50,12.75,483,3.4,10/09/2024 19:45:00
09/10/2024,20:00:51,12.71,483,3.2,10/09/2024 20:00:00
09/10/2024,20:15:51,12.66,483,3.1,10/09/2024 20:15:00
09/10/2024,20:30:51,12.63,483,3.1,10/09/2024 20:30:00
09/10/2024,20:45:50,12.59,483,3.2,10/09/2024 20:45:00
09/10/2024,21:00:51,12.55,483,3.4,10/09/2024 21:00:00
09/10/2024,21:15:51,12.52,483,3.2,10/09/2024 21:15:00
09/10/2024,21:30:50,12.49,483,3.5,10/09/2024 21:30:00
09/10/2024,21:45:50,12.46,483,3.2,10/09/2024 21:45:00
09/10/2024,22:00:50,12.44,483,3.3,10/09/2024 22:00:00
09/10/2024,22:15:50,12.41,483,3.2,10/09/2024 22:15:00
09/10/2024,22:30:50,12.39,483,3.4,10/09/2024 22:30:00
09/10/2024,22:45:50,12.36,483,3.3,10/09/2024 22:45:00
09/10/2024,23:00:51,12.34,483,3.3,10/09/2024 23:00:00
09/10/2024,23:15:51,12.32,482,3.2,10/09/2024 23:15:00
09/10/2024,23:30:50,12.29,482,3.2,10/09/2024 23:30:00
09/10/2024,23:45:51,12.27,482,3.5,10/09/2024 23:45:00
10/10/2024,00:00:51,12.24,482,3.4,10/10/2024 00:00:00
10/10/2024,00:15:51,12.22,482,3.5,10/10/2024 00:15:00
10/10/2024,00:30:51,12.2,482,3.4,10/10/2024 00:30:00
10/10/2024,00:45:50,12.18,481,3.5,10/10/2024 00:45:00
10/10/2024,01:00:50,12.17,481,3.2,10/10/2024 01:00:00
10/10/2024,01:15:50,12.15,481,3.3,10/10/2024 01:15:00
10/10/2024,01:30:50,12.13,481,3.2,10/10/2024 01:30:00
10/10/2024,01:45:51,12.11,481,3.5,10/10/2024 01:45:00
10/10/2024,02:00:51,12.09,480,3.4,10/10/2024 02:00:00
10/10/2024,02:15:51,12.07,480,3.4,10/10/2024 02:15:00
10/10/2024,02:30:51,12.06,480,9.3,10/10/2024 02:30:00
10/10/2024,02:45:51,12.04,480,3.4,10/10/2024 02:45:00
10/10/2024,03:00:51,12.03,480,3.8,10/10/2024 03:00:00
10/10/2024,03:15:51,12.01,480,3.6,10/10/2024 03:15:00
10/10/2024,03:30:51,12,479,3.7,10/10/2024 03:30:00
10/10/2024,03:45:50,11.99,479,3.6,10/10/2024 03:45:00
10/10/2024,04:00:50,11.98,479,3.4,10/10/2024 04:00:00
10/10/2024,04:15:51,11.97,479,3.7,10/10/2024 04:15:00
10/10/2024,04:30:50,11.95,479,3.6,10/10/2024 04:30:00
10/10/2024,04:45:51,11.94,479,3.4,10/10/2024 04:45:00
10/10/2024,05:00:51,11.93,479,3.4,10/10/2024 05:00:00
10/10/2024,05:15:51,11.92,478,3.6,10/10/2024 05:15:00
10/10/2024,05:30:51,11.91,478,3.6,10/10/2024 05:30:00
10/10/2024,05:45:51,11.9,478,3.5,10/10/2024 05:45:00
10/10/2024,06:00:51,11.88,478,3.6,10/10/2024 06:00:00
10/10/2024,06:15:51,11.87,478,3.7,10/10/2024 06:15:00
10/10/2024,06:30:51,11.85,478,3.6,10/10/2024 06:30:00
10/10/2024,06:45:51,11.83,477,3.7,10/10/2024 06:45:00
10/10/2024,07:00:50,11.82,477,3.6,10/10/2024 07:00:00
10/10/2024,07:15:51,11.8,477,3.7,10/10/2024 07:15:00
10/10/2024,07:30:50,11.78,477,3.7,10/10/2024 07:30:00
10/10/2024,07:45:50,11.77,476,3.6,10/10/2024 07:45:00
10/10/2024,08:00:51,11.75,476,3.6,10/10/2024 08:00:00
10/10/2024,08:15:51,11.74,476,3.9,10/10/2024 08:15:00
10/10/2024,08:30:51,11.73,475,7.5,10/10/2024 08:30:00
10/10/2024,08:45:50,11.72,475,3.7,10/10/2024 08:45:00
10/10/2024,09:00:51,11.71,475,3.6,10/10/2024 09:00:00
10/10/2024,09:15:50,11.72,474,3.7,10/10/2024 09:15:00
10/10/2024,09:30:50,11.72,474,3.9,10/10/2024 09:30:00
10/10/2024,09:45:50,11.73,474,3.9,10/10/2024 09:45:00
10/10/2024,10:00:50,11.74,474,3.6,10/10/2024 10:00:00
10/10/2024,10:15:51,11.75,473,3.6,10/10/2024 10:15:00
10/10/2024,10:30:51,11.77,473,4.5,10/10/2024 10:30:00
10/10/2024,10:45:51,11.79,473,3.6,10/10/2024 10:45:00
10/10/2024,11:00:51,11.82,473,3.7,10/10/2024 11:00:00
10/10/2024,11:15:51,11.85,473,3.6,10/10/2024 11:15:00
10/10/2024,11:30:51,11.89,473,3.6,10/10/2024 11:30:00
10/10/2024,11:45:51,11.92,472,4.6,10/10/2024 11:45:00
10/10/2024,12:00:50,11.96,472,3.6,10/10/2024 12:00:00
10/10/2024,12:15:50,12,472,3.7,10/10/2024 12:15:00
10/10/2024,12:30:51,12.04,472,3.4,10/10/2024 12:30:00
10/10/2024,12:45:51,12.08,472,3.4,10/10/2024 12:45:00
10/10/2024,13:00:51,12.11,472,3.1,10/10/2024 13:00:00
10/10/2024,13:15:51,12.17,472,8.7,10/10/2024 13:15:00
10/10/2024,13:30:51,12.2,472,3.2,10/10/2024 13:30:00
10/10/2024,13:45:50,12.22,472,3.3,10/10/2024 13:45:00
10/10/2024,14:00:51,12.24,473,3.2,10/10/2024 14:00:00
10/10/2024,14:15:51,12.25,473,3.4,10/10/2024 14:15:00
